accuracy@1,accuracy@5,accuracy@10
207909,207909,207909
225329,225329,225329
225593,221268,221268
224941,221411,221411
211181,225593,225593
192646,224941,225946
153365,225997,224941
143358,220465,225997
130470,211181,220465
197238,225973,211181
177368,192646,225973
169839,153365,192646
226022,187036,196676
223015,143358,153365
226229,130470,187036
223512,197238,143358
174014,177368,130470
226363,158243,197238
220471,125866,177368
225677,225527,158243
214381,169839,125866
228968,226022,225527
229841,223015,169839
148094,226229,226022
230071,223512,223015
230489,174014,226229
219558,226363,223512
231884,224122,174014
231787,225975,226363
229181,220471,224122
201774,228287,225975
231882,225677,227597
225404,226016,220471
232475,219641,228287
233485,214381,225677
232965,228968,226016
233351,229172,219641
232617,228770,214381
233969,229841,228968
234119,229377,229172
234732,148094,228770
233638,230071,229841
233844,229680,229377
234437,230489,148094
235329,219558,230071
219437,231192,229776
235219,229520,212991
235617,231606,229680
232689,231884,230489
235806,231787,219558
210988,229181,231009
230120,201774,230912
237432,231882,223926
237138,225404,231192
127971,232475,229520
238149,231877,227965
211202,232163,227974
238847,233485,231925
226369,232965,231606
236312,233351,231884
86745,233867,226007
239220,232617,231787
240817,233969,229181
242030,233595,201774
241443,233598,228282
236724,234119,231882
242003,234732,225404
241720,234271,232475
97496,233638,231877
242484,233844,232163
242263,234433,233485
210441,234823,232965
243037,234437,233351
241062,232686,233867
244234,235329,232617
231776,219437,233969
49996,235324,233595
244574,235219,233598
243558,235617,234119
244931,235348,234732
244472,232689,234271
244318,235806,233638
247237,235847,233844
247649,164437,234433
247557,236669,234823
248167,210988,234437
248187,230120,227914
248266,237432,232686
248731,226090,235329
211696,237138,219437
249608,125499,235324
249286,127971,235219
248551,236937,235617
242716,238149,235348
250782,211202,232689
251084,238847,235806
250976,226369,235847
251007,239231,164437
250172,236312,236669
249003,86745,210988
251442,211536,230120
249880,239220,237432
222791,241490,226090
210443,240190,237138
252464,241144,125499
252422,240817,127971
252749,242030,236937
246541,241443,238149
252747,236724,211202
246274,242003,238847
252245,241720,226369
253294,97496,239231
253058,242484,236312
253057,242263,86745
253265,210441,84552
253254,242603,236634
254607,243037,211536
128804,241062,239482
245523,243232,239220
253673,244234,241490
248921,196884,240190
255282,231776,241144
256350,49996,240817
257056,244574,242030
256770,245185,241443
256845,243558,236724
256685,245379,242003
223590,244931,241720
256870,244472,242414
257534,244318,97496
257238,247083,242484
257614,247237,242263
256476,247290,210441
258134,247649,242603
257967,247557,243037
250179,248167,241062
258309,248467,243232
258978,247728,244234
256169,248187,196884
259910,248266,231776
260076,247069,49996
199964,248731,244574
245590,211696,245185
182914,249608,243558
242838,249286,245379
256173,248551,244931
256825,242716,244472
259003,250782,244318
261354,211048,145890
153432,250859,247083
261576,250193,247237
261854,251084,247318
262117,250976,247290
256346,251007,247649
262939,250172,247557
258727,50228,248167
262984,249003,248467
260761,251442,247728
264019,225266,248187
263971,249880,247667
257188,251583,248266
264762,251128,247069
265991,222791,248731
265481,210443,211696
266499,252064,248735
266475,251779,249608
266516,252464,249286
267270,252460,248551
265947,247558,242716
268303,252424,250782
267174,252422,250622
268389,252895,211048
253214,252749,250859
236630,246541,250193
268543,252747,251084
268787,246274,250976
267466,252245,251007
268649,253189,250172
269305,253294,50228
267468,253058,249003
269599,253720,251442
269533,253057,225266
213185,253265,249880
267895,253254,251583
270177,254607,251516
136515,254947,251128
266974,249210,222791
263589,255821,251618
185204,128804,210443
270663,245523,252064
270654,253673,251779
268651,248921,252464
270861,255282,252460
270406,256350,247558
271017,256688,247866
271179,256687,252424
270670,257056,252422
222783,233303,252895
272259,256770,252749
253056,256845,246541
272631,256685,252747
271634,223590,246274
267680,256870,252245
272834,257534,253189
273117,257238,253294
268529,257614,253058
271384,117934,253720
273492,256476,253057
273631,258134,253265
273521,257967,253254
274295,250179,253225
274169,258309,254607
274022,258978,251762
236808,258975,254947
245278,256169,254797
274931,258970,249210
274274,257007,255821
273099,245783,128804
271029,259910,245523
275207,260076,253673
254861,257442,255403
270676,199964,248921
270495,260291,255282
270316,253745,256350
274001,245590,256688
275484,182914,256687
268503,242838,257056
275681,256173,233303
275913,237517,256770
276760,253227,256845
276531,256825,256685
276826,259379,223590
276506,261099,256870
276854,259003,257534
276485,261052,257238
277175,261228,257614
276516,261354,117934
276564,258110,256476
277668,153432,258134
277442,261576,257967
277437,261854,250179
277268,262117,258309
279501,250443,258978
279042,256327,258975
278370,256346,256169
279313,262939,258970
275617,258727,257007
278780,262984,245783
280708,260761,259295
278376,248796,257088
277567,263664,259910
283346,247444,260076
277438,263603,257442
279917,263529,199964
281352,260514,260291
283688,262955,240142
278959,264019,253745
283313,264553,245590
277356,263971,182914
273850,257188,242838
276110,264703,256173
279712,264762,237517
283108,264764,253227
275900,263518,256825
65796,252251,259379
273678,264425,261099
281725,265427,259003
279877,265606,261052
285656,264399,261228
108792,265991,261354
268789,265481,258110
279441,266499,153432
36802,266475,252419
285641,266407,261576
279052,266516,261854
262925,255000,262346
286687,266385,262117
