accuracy@1,accuracy@5,accuracy@10
187762,187762,187762
220582,220582,220582
220423,219386,219386
208103,220423,220423
191684,208103,220663
220473,191684,208103
220368,219958,191684
220546,210568,219958
162140,220473,210568
221416,208392,220473
221337,220368,208392
221528,220546,220368
221860,212177,220546
220694,162140,212177
221493,221416,162140
84225,221337,221416
221768,221528,221337
221521,220766,221528
222411,221860,220766
221649,220694,221860
214392,221493,133495
157445,215543,220694
76351,84225,221493
221222,221768,215543
218467,222153,84225
222861,221521,221768
220697,222397,222153
223074,222411,220662
218053,221649,221521
131516,218882,222397
223339,214392,222411
136244,157445,221649
220767,222375,218882
223653,76351,214392
223481,221222,157445
223732,220696,222375
216860,218467,214919
222627,222861,76351
223886,220697,221222
219273,223074,220696
224335,218053,218467
224451,131516,222861
224428,223339,220697
223116,136244,213504
109290,223375,223074
224887,220767,218053
223995,223649,131516
188652,223653,223339
225051,223481,136244
56313,223732,223375
225331,216860,220767
206178,222627,223649
127308,223886,223653
206179,219273,223481
200376,223808,223732
219913,222391,216860
223188,223846,222627
223299,224335,223886
224951,224451,219273
221914,224428,223808
218054,224568,222391
227661,223116,223846
216483,109290,224335
204489,224887,224451
214560,223995,224428
228120,223108,224568
223056,222558,223116
228006,188652,109290
228204,9262,224887
228863,225051,223995
228786,56313,223108
225190,225331,222558
219635,206178,188652
223405,127308,99602
229084,206179,9262
229240,200376,225051
229180,226124,56313
229386,219913,225331
185216,90959,206178
229807,223188,127308
229684,226718,206179
229864,226277,200376
94825,223299,226124
225754,227023,219913
228197,224951,90959
228890,221914,223188
230879,218054,226718
227983,227661,226277
230179,216483,223299
231119,204489,227023
230472,198283,224951
227317,226217,221914
231175,214560,218054
231182,228120,227661
231307,227868,216483
231103,223056,204489
231636,228006,198283
231016,228475,226217
231341,228204,214560
230351,155273,228120
189588,228863,227868
231163,170161,223056
199179,228786,228006
233285,225190,228475
232048,219635,228204
225425,223405,155273
234228,202297,228863
232997,229084,170161
234372,229127,228786
232489,228760,225190
218249,229240,219635
235819,169997,223405
235613,229180,202297
137478,229386,229084
210491,185216,229127
237163,229473,228760
237884,229807,229240
226867,229684,169997
219946,229864,229180
237273,94825,229386
235354,225754,185216
240135,228197,229473
241277,228890,229807
233313,228017,229684
241384,230420,229864
240381,230879,94825
235195,227983,225754
242017,230179,228197
240009,224921,228890
242765,231119,228017
242446,230472,230420
242421,227317,230879
242427,214271,227983
238909,231175,230179
238162,229668,224921
243209,231182,231119
217801,231307,230472
242466,231103,207350
236612,231636,227317
245761,231016,214271
246382,231341,231175
246384,226342,229668
246381,230351,231182
246209,228880,231307
247651,189588,231103
247933,157506,231636
246612,230365,231016
249514,229983,231341
249435,231163,226342
218137,199179,230351
244145,229789,228880
249574,233285,189588
249378,232541,157506
242832,232048,230365
249281,225425,229983
247945,234228,231163
244047,227721,199179
84107,232997,229789
230349,223976,233285
247818,234372,232541
38789,232489,232048
251568,218249,225425
251444,235819,234228
251257,235613,227721
251193,137478,232997
251996,210491,223976
251001,239015,234372
251997,237163,232489
134190,237884,232196
201391,226867,218249
180392,239300,235819
234345,219946,235613
243347,237273,137478
247731,235354,210491
242225,240135,239015
246462,241277,237163
238452,242583,237884
252487,233313,226867
230394,241384,239260
182122,208160,239300
252219,240381,219946
252904,235195,237273
252940,242017,235354
192633,240009,240135
250133,242765,241277
253773,242446,228658
250136,242421,242583
251517,242427,233313
128684,242900,241209
189752,238909,241384
56368,238162,208160
255314,243209,240381
74298,161095,235195
232076,208804,242017
254547,217801,240009
242789,242466,242765
255773,236612,242446
254673,245761,242421
242819,245437,242427
254492,246382,242409
256516,246384,242900
119085,246381,238909
256716,245710,238162
245155,246209,243209
181308,246373,161095
175069,246959,208804
182714,247651,217801
2035,247933,242466
250651,246612,236612
238397,249514,245761
49316,249435,245437
141690,218137,246382
256801,244145,246384
256556,249574,246381
247806,249378,245710
257752,242832,246209
257531,249281,246373
257790,247945,246959
238738,244047,247651
258794,84107,247933
258826,230349,246612
258833,247818,249514
258153,38789,249435
259477,247720,218137
231327,251568,244145
211350,251444,249574
255229,251257,249378
259179,251193,242832
254936,251996,249281
24521,251001,247945
260649,251997,244047
261147,236795,84107
260937,134190,230349
250198,201391,247818
247294,180392,38789
204837,234345,247720
220557,243347,251568
256561,247731,251444
254550,97786,251257
259553,242225,251193
261398,246462,251996
261827,238452,251001
257094,248392,241849
261752,252487,251997
238299,230394,236795
256764,182122,134190
258352,252219,201391
259536,252904,180392
256422,252940,234345
258736,192633,243347
188380,250133,247731
252290,253773,97786
261852,250136,242225
262101,251517,252117
262222,243612,246462
262392,128684,238452
261861,189752,248392
262380,198941,252487
262706,56368,230394
262619,255314,182122
262935,74298,252219
262707,232076,252904
262962,254547,252940
252561,242789,192633
261506,255773,250133
255734,254673,253773
263413,242821,250136
185569,242819,251517
261865,254492,243612
263856,256516,128684
263984,119085,189752
263852,256716,250664
211003,245155,198941
263898,181308,56368
263927,175069,255314
219930,182714,74298
243824,2035,232076
194209,250651,254547
143430,238397,242789
264317,49316,255773
211933,141690,254673
258016,256830,242821
264519,256801,242819
263781,256556,254492
265374,247806,256516
265214,257752,119085
260892,257531,256716
264574,257790,245155
242388,238738,181308
265440,258794,175069
239945,250794,242208
265754,258826,182714
259557,258833,2035
265856,258153,250651
259954,259477,238397
265159,231327,49316
265204,211350,141690
265739,255229,256830
264278,259179,256801
263855,254936,256556
264845,24521,247806
266391,260649,248733
265721,213139,257752
266699,261147,257531
266345,261037,257790
57762,261164,238738
241208,260937,258794
266485,250198,250794
265425,240159,258826
255136,247294,258833
264030,204837,248516
168682,220557,258153
266177,256561,259477
267021,259219,231327
266862,259821,211350
221977,258810,255229
266677,254550,259179
266018,259553,254936
150626,260904,24521
183602,261398,260649
264650,261827,213139
218673,250807,261147
264039,257094,261037
259952,261752,261164
232777,258934,260937
