accuracy@1,accuracy@5,accuracy@10
51509,51509,51509
51503,51503,51503
51545,51545,51545
51557,51555,51555
51518,51557,51557
51588,41709,41709
51586,51518,51056
51615,51588,51518
51650,51586,51588
51641,51614,51586
41673,51615,51614
51644,51650,51640
51658,51641,51615
51688,41673,51650
51654,51644,51641
49683,51658,41673
51558,51688,51644
51736,51713,51658
51704,51654,51688
51698,51712,51713
51794,49683,51654
51580,51558,51712
51811,51736,49683
51687,51704,51558
51852,51698,51736
51905,51794,51704
51952,51580,51698
52009,51811,51794
51956,51687,51580
51972,51852,51811
52173,51905,51687
52225,51910,51860
52208,51952,51852
52321,52009,51905
52354,51956,51910
52316,51972,51952
52293,52051,52009
52213,52113,51956
52384,50570,51972
52303,52156,52051
52356,52173,52113
52387,52225,50570
52326,52208,52156
52461,52321,52173
52245,52028,52225
52443,52354,52208
52577,52316,52321
52607,52293,52028
52606,52213,52354
52666,52384,52316
52669,52303,52293
52758,52356,52213
52732,52387,52384
52725,52328,52303
52724,52326,52356
52729,52461,52387
52731,52245,52328
52804,52443,52326
52727,38216,52445
52772,51408,52461
52770,52474,52245
52726,52547,52443
52792,52511,38216
52767,52543,51408
52776,52577,52474
52723,52607,52547
52926,52606,52511
52850,52671,52543
52719,52666,52577
51893,52669,52607
51237,52758,52606
50860,52760,52671
52957,52732,52666
52066,52725,52669
52974,52724,52758
52998,52729,52760
53056,52731,52732
53067,52804,52725
53254,52727,52724
53180,52846,52729
53322,52772,52731
53081,52770,52804
53301,52726,52727
53339,52792,52846
53337,52767,52772
53008,52776,52770
53032,52723,52726
53230,52926,52792
53367,52850,52767
53266,52719,52776
53374,51893,52723
52954,51237,52926
53421,50860,52850
53406,52957,52719
53460,52066,51893
53445,52974,51237
53467,52998,50860
52135,53087,52957
53416,53056,52066
53498,50864,52974
53526,53063,52998
53529,53067,53087
53469,53254,53056
53607,53180,50864
53606,53074,53063
53535,53322,53067
53641,53081,53254
53481,53285,53180
53545,53301,53074
53700,53339,53322
53654,53337,53081
53714,53008,53285
53725,53354,53301
53783,53032,53339
53758,53230,53337
42181,53367,53008
53800,53373,53354
53828,53266,53032
53713,53398,53230
53993,53450,53367
54017,53374,53373
54012,52955,53266
54045,52954,53398
54054,53421,53450
53867,53406,53374
54022,53460,52955
54068,53430,52954
54127,53445,53421
54076,53467,53406
54124,52135,53460
54123,53416,53430
54143,53498,53445
54141,53526,53465
54144,53529,53467
54198,53469,52135
54217,53607,53416
54220,53606,53498
54194,53535,53526
54207,53641,53529
54256,53481,53469
54262,53545,53607
54380,53574,53606
54248,53624,53535
54377,53700,53641
54438,53654,53481
54379,53702,53545
54450,53714,53574
54458,53725,53624
54466,53783,53700
54476,53758,53654
54496,42181,53702
53869,53697,53714
54497,53800,53725
54521,53793,53783
54513,53828,53758
54456,53713,42181
54534,53863,53697
54536,53993,53800
54552,54017,53793
54203,53854,53801
54585,54012,53828
54628,54045,53713
54612,54054,53863
54658,53867,53993
54690,54022,54017
54624,54068,54010
54702,54127,53854
54660,54067,54012
54721,54115,54045
54709,54076,54054
54724,54096,53867
54732,54124,54022
54755,54123,54068
54851,54087,54127
54822,54143,54067
54807,54141,54115
54781,54144,54076
54708,54198,54096
54800,54217,54124
54801,54220,54123
54178,54194,54087
54888,54207,54143
54926,54150,54141
54906,54256,54144
54703,54241,54198
54984,54260,54217
54964,54262,54220
54961,54284,54194
54963,54380,54207
54999,54248,54150
54944,54382,54256
55108,54377,54241
55052,54387,54260
55073,54438,54262
55109,54406,54284
54745,54379,54380
55110,54440,54248
55101,54450,54381
55127,54458,54382
55126,54466,54377
55102,54448,54387
55151,54476,54438
55017,54496,54406
55159,53869,54379
55158,54497,54440
53777,54521,54450
55179,54513,54458
55177,54456,54466
55181,54534,54448
55200,54536,54476
55183,54552,54496
55184,54203,53869
55210,54602,54497
55207,54585,54521
55231,54638,54513
55238,54671,54456
55228,54628,54534
55218,54612,54536
55240,54658,54552
55250,54690,54203
55259,54624,54602
55291,54702,54585
55309,54660,54638
55262,54710,54671
55333,54712,54628
55404,54721,54612
55434,54709,54658
55354,54724,54690
55438,54732,54624
55469,54755,54702
51526,54851,54660
55500,54822,54710
55342,54807,54712
55527,54792,54721
55494,54781,54709
55521,54708,54724
55343,54800,54732
55552,54801,54755
52558,54178,54851
55570,54888,54822
55582,54926,54807
46727,54906,54792
55629,54703,54781
55317,54984,54708
55251,54955,54800
54095,54974,54801
55664,54964,54178
55656,54961,54888
55684,54963,54926
55691,54947,54906
55702,54999,54703
55772,54944,54984
55778,54971,54981
55760,54997,54955
55851,55035,54974
55811,55108,54964
55801,55052,54961
55820,55073,54963
55970,55109,54947
55974,54745,54999
55960,55110,54944
55978,55101,54971
55893,55127,54997
56012,55126,55035
,55102,55108
,55151,55052
,55017,55073
,55159,55109
,55158,54745
,53777,55110
,55179,55101
,55160,53987
,55177,55127
,55181,55126
,55165,55102
,55200,55151
,55183,55017
,55184,55159
,55210,55158
,55207,53777
,55231,55179
,55238,55160
,55228,55177
,55218,55181
,55240,55165
,55250,55200
,55259,55183
,55291,55184
,55267,55210
,55309,55207
,55312,55231
,55262,55238
,55316,55228
,55333,55218
,55345,55240
,52092,55250
,55357,55259
,55404,55291
,55434,55267
,55442,55309
,55354,55287
,55438,55312
,55454,55262
,55469,55316
,51526,55333
,55453,55345
,55500,52092
,55342,55357
,55527,55404
,55494,55434
,55521,55442
,55343,55354
,54693,55438
,55552,55454
,52558,55469
,55570,51526
,55582,55453
,46727,55500
,55629,55342
,55317,55527
,55576,55494
,55630,55521
,55642,55343
,55251,54693
,54095,55552
,55664,52558
,55681,55570
,55656,55582
,55684,46727
,55691,55629
,55702,55317
,55735,55576
,55749,55630
,55772,55642
,55778,55251
,55760,54095
,55776,55664
,55804,55681
,55851,55656
,55842,55684
,55811,55715
,55801,55691
,55820,55702
,55905,55735
,55970,55749
,55974,55772
,55960,55778
,55958,55760
,55976,55776
,55978,55804
,55893,55851
,56010,55842
,55995,55811
,56025,55801
,55943,55820
,56012,55905
,,55970
,,55884
,,55974
,,55960
,,55958
,,55976
,,55978
,,55893
,,56010
,,55995
,,56025
,,55943
,,56012
