accuracy@1,accuracy@5,accuracy@10
220423,208103,219386
187762,220423,208103
220582,187762,220423
191684,220582,187762
208392,219958,220582
220368,220663,219958
210568,191684,220663
220546,208392,191684
221416,212177,208392
162140,220473,212177
221337,220368,220473
220694,210568,220368
221493,220546,210568
84225,221416,220546
221860,162140,221416
221528,221337,162140
221768,220766,221337
222411,220694,220766
222153,221493,220694
221649,84225,221493
214392,221860,84225
76351,221528,221860
157445,221768,221528
221222,222411,133495
218467,222153,221768
223074,220662,222411
220697,221649,222153
218053,222397,220662
222861,222375,221649
131516,218882,222397
223339,221521,222375
136244,214392,218882
220767,76351,221521
223732,157445,214392
223481,221222,76351
223886,218467,214919
223653,220696,157445
219273,223074,221222
224451,220697,218467
224428,218053,220696
224335,222861,223074
223116,131516,220697
223995,223375,223246
109290,223339,218053
224887,136244,222861
188652,220767,131516
225051,223649,223375
56313,223732,223339
225331,223481,136244
206178,223886,220767
206179,223653,223649
127308,222391,223732
200376,219273,223481
168524,222627,223886
219913,223808,223653
226124,224451,222391
223188,224428,219273
227023,224568,216860
223299,224335,222627
221914,223116,223808
224951,223995,223790
227661,109290,224451
216483,223108,224428
214560,222558,224568
226217,224887,224335
228120,9262,223116
223056,188652,223995
228006,225051,109290
228863,56313,223108
228475,225331,222558
228786,206178,224887
228204,206179,9262
225190,127308,188652
219635,200376,225051
223405,168524,99602
229240,219913,56313
185216,226124,224861
229386,223188,225331
169997,90959,206178
229180,226718,206179
229807,226277,127308
229684,218054,200376
229864,227023,168524
225754,223299,219913
94825,221914,226124
228197,224951,223188
228890,227661,90959
230879,198283,226718
227983,216483,226277
231119,224682,218054
230179,214560,227023
230472,226217,223299
231175,228120,221914
231103,223056,224951
231182,228006,227661
231636,228863,198283
231341,170161,216483
231016,228475,224682
231307,228786,214560
189588,228204,226217
231163,225190,228120
229983,219635,223056
199179,223405,227868
225425,224997,228006
233285,229127,228863
232048,229240,170161
234228,228760,228475
232997,229084,228786
234372,185216,228204
232489,229386,225190
218249,169997,219635
235819,229180,223405
235613,229623,224997
210491,229473,202297
237884,229807,229127
237163,229684,229240
226867,229864,228760
239523,225754,229084
137478,94825,185216
219946,228197,229386
237273,230420,169997
240135,228890,229180
233313,228017,229623
235354,230879,229473
241277,227983,229807
240381,231119,229684
241384,230179,229864
235195,227317,225754
242765,230472,94825
242017,224921,228197
240009,214271,230420
242446,231175,228890
242421,231103,228017
242427,231182,230879
238909,231636,227983
243209,231341,231119
238162,231016,230179
242466,226342,227317
236612,231307,230472
245437,230351,207350
245761,189588,227982
246384,230365,224921
246209,231163,214271
246373,229983,231175
246381,199179,231103
246612,225425,231182
246959,232541,231636
247651,233285,231341
249514,232048,231016
249435,234228,226342
249378,227721,231307
242832,232997,230351
249574,234372,228880
244145,232489,189588
84107,218249,230365
230349,235819,231163
251568,235613,229983
247818,210491,199179
251444,237884,225425
38789,239015,232541
251001,239260,233285
251997,239300,232048
236795,237163,234228
134190,226867,227721
247731,239523,232997
201391,137478,234372
251996,219946,232489
234345,237273,218249
180392,240135,235819
243347,228658,232196
242225,233313,235613
246462,235354,210491
248392,241277,237884
252219,240381,239015
238452,241384,239260
252487,242583,239300
230394,208160,237163
182122,235195,226867
252940,242765,239523
252904,242017,137478
253773,240009,219946
192633,242446,237273
250136,242421,240135
250133,242427,228658
189752,242760,233313
251517,238909,235354
254547,242900,241277
56368,208804,240381
74298,243209,241384
232076,238162,242583
254673,161095,208160
242819,189529,235195
242789,242466,242765
256516,217801,242017
254492,236612,240009
119085,245437,242446
245155,245761,242421
256716,245710,242427
238397,246384,242760
175069,246209,238909
182714,246373,242900
2035,246381,208804
250651,246382,243209
181308,246612,238162
141690,246959,161095
49316,247651,189529
256801,249514,242466
257531,249435,217801
256556,218137,236612
243758,249378,200316
257752,242832,245437
238738,249574,245761
250794,244145,245710
258833,249281,246384
257790,84107,246209
258794,230349,246373
259477,244047,246381
211350,251568,246382
258153,247818,246612
255229,251444,246959
254936,38789,247651
24521,251193,247933
260649,246105,249514
259179,251001,249435
261147,251997,218137
247294,236795,249272
250198,134190,249378
204837,247731,242832
220557,201391,249574
260937,251996,244145
256561,234345,249281
259553,180392,84107
250807,243347,230349
254550,97786,247720
261398,242225,244047
257094,246462,251568
261752,248392,247818
261827,252219,251444
258352,238452,38789
259536,252487,251193
256764,230394,246105
252290,182122,251001
238299,252940,251997
256422,252904,236795
258736,253773,134190
248752,192633,247731
188380,243612,201391
261852,250136,251996
262222,250133,234345
262101,128684,180392
262392,189752,243347
262706,251517,97786
261861,254547,242225
262380,255314,246462
262619,56368,248392
262707,74298,252219
262935,198941,238452
262962,232076,252487
262877,254673,230394
261506,242819,182122
252561,242789,252940
263544,255773,252904
255734,242821,253773
261865,256516,192633
185569,254492,243612
263413,119085,250136
240574,245155,250133
263856,256716,128684
263852,238397,189752
211003,175069,251517
263984,182714,254547
263927,2035,255314
263898,250651,56368
219930,181308,74298
194209,256830,198941
143430,141690,232076
190610,49316,254673
243824,256801,242819
264317,257531,242789
211933,256556,255773
254984,247806,242821
263781,257179,256516
258016,243758,254492
264519,248733,119085
264574,257752,245155
265440,238738,256716
265374,250794,242208
265214,258833,249647
239945,257790,238397
264796,258794,175069
260892,259477,182714
242388,211350,2035
265754,258153,250651
259557,231327,181308
265204,255229,249442
259954,248516,256830
265159,254936,141690
255172,24521,49316
265739,260649,256801
264278,259179,257531
263855,261164,256556
264845,261147,247806
266391,213139,257179
266204,261037,243758
266699,247294,248733
266659,250198,257752
265164,204837,238738
265721,220557,250794
266345,260937,258833
241208,256561,257790
265425,240159,258794
264030,258810,258826
255136,259821,259477
168682,259553,211350
267021,250807,258153
266862,254550,231327
255793,261398,255229
221977,257094,248516
266677,261752,254936
266018,261827,24521
218673,258934,260649
183602,258352,259179
264650,259536,261164
259952,256764,261147
232777,252290,213139
258679,238299,261037
256656,256422,247294
267117,258736,250198
267469,256889,204837
267560,248752,220557
260664,188380,260937
267977,261852,256561
267722,262222,240159
269711,262101,258810
266367,125437,259821
269466,249441,260904
267408,262392,259553
269058,262706,250807
230360,261861,254550
263690,262380,261398
270146,262619,257094
270774,262707,261752
260417,262935,261827
270989,262606,258934
271799,262962,258352
271830,262877,259536
271834,261506,256764
112337,252561,252290
272065,263544,238299
271683,255734,256422
272165,261865,258736
266970,185569,256889
218302,263413,248752
265422,263207,188380
270174,240574,261852
266097,263856,262222
273012,263852,262101
272913,263819,125437
89256,211003,249441
267834,263984,262392
267934,263927,262706
273330,263898,261861
255576,219930,262380
230449,264065,262619
273147,194209,262707
269264,203154,262935
258177,143430,262606
249851,264216,262962
268819,238157,262877
272763,190610,261506
270952,243824,252561
196691,264317,135971
273667,211933,263544
155008,254984,255734
267791,263781,261865
224341,258016,185569
273752,264519,263413
261622,264777,263207
269020,264574,240574
273706,265440,263856
274236,264899,263852
273697,265374,263819
270822,265214,211003
270457,239945,263984
246131,264796,263878
273738,260892,263927
274699,242388,263898
255703,265647,219930
237124,265754,264014
275075,265856,264065
269210,259557,194209
99493,265204,203154
271339,259954,143430
116284,265159,264216
272528,255172,238157
274618,265739,190610
270465,265878,243824
271744,264278,264317
275170,263855,211933
273828,264845,254984
270795,266028,263781
275197,266391,258016
275298,266204,264519
275627,266699,264777
272307,266659,264094
248908,265164,264574
277213,263845,265440
276520,265721,264899
277230,57762,265374
74337,266345,265214
277513,241208,239945
270797,265425,264796
277676,266485,260892
278243,264030,242388
278091,255136,265647
277966,168682,265754
275743,266177,265856
278829,186025,259557
278514,266295,265204
279849,266958,259954
278550,162102,265159
280499,267021,255172
280000,266862,265739
280695,255793,265878
280087,221977,264278
276202,265813,263855
281126,266677,264845
281888,244354,266028
282016,266018,266391
281897,218673,266204
282276,264039,266699
282319,183602,266659
282890,264650,265164
282717,259952,263845
282875,232777,265721
283442,258679,57762
283443,256656,266345
283359,213848,241208
283649,251575,265425
283215,267117,266485
283340,198971,264030
283631,267495,255136
284138,267469,168682
283790,267560,266177
284180,213645,186025
283536,218884,266295
283896,260664,266958
284213,267977,162102
284164,267722,267021
283194,269711,267080
284349,266367,266862
284340,269466,255793
284622,267408,221977
283887,269058,266894
284750,230360,265813
184345,263690,266677
281744,270120,244354
283676,270146,266018
224546,270774,267242
286949,260417,218673
283283,68684,264039
276324,270989,183602
286678,271799,264650
286867,271830,259952
276371,271834,232777
278064,112337,258679
278965,272065,256656
280656,271683,213848
269844,262173,251575
288352,272165,267117
288388,266970,198971
275018,218302,267495
288154,265422,267469
286542,252887,267560
271501,270174,213645
