accuracy@1,accuracy@5,accuracy@10
226445,226445,226445
209799,224758,224758
226871,225030,225030
227072,226858,226858
229649,226864,226864
229521,209799,209799
229524,226871,226871
229563,227072,227072
230033,227249,227249
228821,227271,227271
230306,226859,226859
231058,226631,226631
228835,228321,227957
225540,228604,228321
229233,229649,227269
231480,141934,228604
231353,229521,229649
231402,229524,141934
232898,229563,229521
233400,229220,229524
233612,228131,229563
234078,230033,229220
234133,228821,228131
234758,230306,230033
232719,167618,228821
235773,231058,230306
235749,228835,167618
235620,225540,228808
236744,229233,231058
205717,231480,228835
237569,231353,225540
234294,232439,229233
237748,231402,231480
224256,232898,231353
238715,192368,223576
238935,232637,232439
239027,233400,231402
239199,233612,232898
231110,232757,232221
240431,234078,213955
238720,233871,192368
239546,234133,232637
241040,233376,233400
241344,234758,233612
241612,232719,232757
242455,234796,234078
237550,235259,233871
241650,235071,234133
243141,235544,233376
243368,235773,234758
244115,235270,232719
243981,235749,234796
241792,235539,235259
235707,235038,235071
243394,235620,235275
244665,236561,235080
243982,236744,235544
244389,205717,235773
243717,237569,235270
244375,234294,235749
245629,237748,235973
245812,235757,235539
245624,224256,235038
246046,201354,235620
239760,238715,236561
246174,238712,236744
246027,238935,205717
245465,237869,237569
246969,236786,234294
239268,236984,237748
247129,239027,235757
231237,239199,224256
248817,236389,201354
250216,231110,238715
250727,237018,238712
248815,240431,238935
251960,240895,236564
248324,240285,237869
252148,239597,236786
251494,238720,236984
253161,239546,239027
251558,241040,239199
253856,241344,236389
247384,241612,231110
169817,234826,237018
254977,236190,240431
194246,240624,240895
258582,236565,240285
257044,242199,239597
258633,241931,238720
258636,242455,239546
258654,237550,241040
258047,241650,241344
254933,243141,241612
172286,242846,234826
261154,243368,241776
260249,244115,236190
259776,243981,240624
261320,234531,236565
261440,243464,242199
259874,241792,234522
261314,235707,241931
261578,243394,242455
261772,244665,242065
230084,243982,237550
261809,244389,241650
263913,244916,243141
199976,243717,242846
264654,243269,241489
260681,244668,234559
264836,244376,243368
264303,244375,243541
263851,245502,244115
265102,245839,243981
265403,245629,234531
265905,245812,236560
255309,245624,243464
265244,245333,243974
266257,246046,241792
267570,239266,235707
267563,239760,243394
267577,246174,244665
267581,246027,243982
268034,245465,244389
259612,245499,244916
266795,246969,243717
268912,239268,243269
244326,247129,244668
244501,247641,244376
269129,231237,244375
269923,247386,239398
270077,248817,245502
270233,249672,237190
268491,250223,245839
270695,250216,245629
270696,250890,245812
271098,250711,245624
269920,250727,245333
271407,248815,246046
271725,251960,246052
271591,248324,239266
271825,251810,239760
265245,252148,246174
261160,251048,246027
272441,252301,245465
273007,251494,245499
273366,252313,246969
273377,253161,232730
225695,253640,239268
274218,251558,247129
273556,253856,242667
274234,254394,247641
271982,254402,231237
275258,252318,247386
274941,253873,245909
274257,230486,248817
275420,239190,249672
272847,231395,250223
271109,247384,250216
270451,253884,250890
271866,169817,239098
272130,254977,250711
276406,256167,250404
261726,252043,250727
159857,254979,248815
276266,231071,251960
276216,194246,248324
276441,255600,251810
276656,258582,252148
276430,257044,251048
224242,257475,252301
276828,258633,251494
190722,258394,252313
277311,258636,253161
270217,258388,253640
275622,254404,251558
269124,184837,253654
276409,258654,253856
263596,258047,254394
278706,259650,254402
278591,254933,252318
278999,259123,253873
278163,259823,250892
279072,259904,230486
278897,251674,239190
279073,172286,231395
276663,255837,247384
273971,261154,253884
280379,260249,169817
279026,259776,254977
277908,261320,256167
281802,261440,252043
282120,259693,254979
281816,259874,231071
117675,261314,194246
282544,261602,258234
280892,261746,255600
282763,261578,258582
282949,261772,257044
282846,261960,257475
284075,261965,258633
284223,230084,258394
282250,261809,258636
275620,263725,258388
284694,263913,256847
283973,199976,254404
284467,259729,184837
283674,264654,258654
284954,260681,258047
284988,264836,259650
284870,264975,254933
286352,264303,259123
285384,263851,259823
285844,265102,259904
279213,265434,251674
286761,265403,172286
284367,265905,260818
286775,255309,255837
238453,266459,261154
236380,266654,260249
286389,265244,259776
287410,266914,261320
287635,266783,261440
287102,246810,259693
287662,266257,259874
287781,267570,261314
287280,267563,261308
285851,267577,261602
288655,124950,261746
287656,267762,261578
285840,267581,261772
282237,268034,261960
