accuracy@1,accuracy@5,accuracy@10
51509,51555,51555
51545,51509,51509
49595,51545,51545
51518,49595,49595
51557,41709,51532
51586,51503,41709
51588,51518,51056
51615,51557,51503
51641,51586,51518
41673,51588,51557
51650,51615,51586
51644,51614,51588
51658,51640,51615
51654,51641,51614
49683,41673,51640
51704,51650,51641
51688,51644,41673
51558,51658,51650
51736,51654,51644
51698,49683,51658
51811,51704,51654
51794,51713,49683
51687,51688,51704
51580,51558,51713
51852,51736,51688
51905,51698,51558
51910,51811,51712
51956,51794,51736
52009,51687,51698
52051,51580,51811
51972,51852,51794
52173,51905,51687
52225,51910,51580
52208,51956,51852
52293,51952,51905
52321,51860,51910
52213,52009,51956
52354,52051,51952
52303,51972,51860
52384,52113,52009
52326,52156,52051
52356,52173,51972
52387,50570,52113
52245,52225,52156
52316,52208,52173
52443,52028,50570
52461,52293,52225
52511,52321,52208
38216,52213,52028
52444,52354,52293
52577,52303,52321
52606,52384,52213
52666,52326,52354
52669,52356,52303
52607,52387,52384
52760,52245,52326
52804,52316,52356
52758,52443,52387
52725,52328,52245
52724,52461,52316
52731,52511,52443
52732,38216,52328
52727,52474,52461
52770,52547,52511
52772,52444,38216
52729,52543,51408
52726,52577,52474
52723,52606,52547
52850,52666,52444
52719,52669,52543
51237,52607,52577
52776,52760,52606
52926,52804,52666
50860,52758,52591
51893,52725,52669
52957,52724,52607
52998,52731,52760
52066,52732,52804
53056,52846,52758
53067,52727,52725
53254,52770,52724
53322,52772,52731
53180,52729,52732
53081,52726,52846
53301,52767,52727
53367,52500,52770
53339,52723,52772
53230,52850,52729
53266,52719,52726
53032,51237,52767
53374,52776,52500
52955,52926,52723
52954,50860,52850
53421,51893,52719
53406,52957,51237
53430,52974,52776
53460,52998,52926
53465,52066,50860
53467,50864,51893
53416,53056,52957
52135,53087,52974
53498,53063,52998
53526,53067,52066
53469,53254,50864
53606,53322,53056
53535,53180,53087
53541,53081,53063
53641,53337,53067
53529,53354,53074
53545,53301,53254
53700,53367,53322
53654,53339,53180
53725,53230,53081
53758,53266,53285
53702,53032,53342
53783,53374,53008
53793,53398,53337
53800,52955,53354
42181,52954,53301
53863,53450,53367
53828,53421,53339
53713,53406,53230
54017,53430,53266
53993,53460,53032
54012,53465,53374
53867,53467,53398
54054,53445,52955
54045,53416,52954
54068,52135,53450
54127,53498,53421
54096,53526,53406
54076,53523,53430
54123,53469,53460
54124,53606,53465
54141,53535,53467
54220,53607,53445
54198,53541,53416
54207,53641,52135
54144,53481,53498
54217,53529,53526
54194,53545,53523
54256,53700,53469
54262,53654,53606
54377,53725,53535
54248,53714,53607
54381,53758,53541
54380,53702,53641
54379,53783,53481
54438,53793,53529
54406,53800,53545
54450,42181,53700
54458,53863,53654
54496,53828,53725
53869,53713,53714
54466,53854,53758
54497,54017,53702
54476,53993,53783
54521,54012,53793
54513,53867,53800
54534,54054,42181
54456,54045,53863
54536,54022,53828
54552,54068,53713
54585,54127,53854
54203,54096,54017
54671,54076,53993
54624,54115,54012
54612,54123,53867
54628,54124,54054
54660,54141,54045
54658,54143,54022
54702,54220,54068
54709,54198,54127
54721,54207,54096
54724,54144,54076
54732,54150,54115
54755,54241,54123
54822,54217,54124
54807,54194,54141
54781,54256,54143
54801,54262,54220
54888,54284,54198
54926,54377,54207
54906,54248,54144
54703,54381,54150
54984,54380,54241
54964,54382,54217
54961,54379,54194
54944,54438,54256
54997,54387,54262
54963,54406,54284
54999,54450,54377
55052,54458,54248
55035,54448,54381
55073,54496,54380
55108,53869,54382
54745,54466,54379
55109,54497,54438
55101,54476,54387
55110,54521,54406
55126,54513,54440
55102,54534,54450
55151,54456,54458
55017,54239,54448
55158,54536,54496
55159,54552,53869
55160,54602,54466
53777,54585,54497
55179,54638,54476
55181,54203,54521
55177,54671,54513
55184,54624,54534
55200,54612,54456
55183,54628,54239
55210,54660,54536
55218,54690,54552
55238,54658,54602
55240,54702,54585
55231,54709,54638
55228,54721,54203
55207,54710,54671
55250,54724,54624
55259,54599,54612
55291,54748,54628
55312,54732,54660
55309,54755,54690
55316,54822,54658
55333,54851,54712
55404,54807,54702
55357,54792,54709
55438,54781,54721
55434,54708,54710
55354,54801,54724
55469,54178,54599
51526,54888,54748
55454,54800,54732
55494,54926,54755
55527,54906,54822
55342,54703,54851
55521,54974,54807
52558,54984,54792
55343,54964,54781
46727,54961,54708
54693,54944,54801
55570,54997,54178
55582,54971,54888
55251,54963,54800
55317,54999,54926
55629,55052,54906
54095,55035,54703
55702,55073,54981
55664,55108,54974
55684,53987,54984
55691,54745,54964
55772,55109,54961
55760,55101,54944
55778,55110,54997
55851,55126,54971
55811,55127,54963
55801,55102,54999
55820,55151,55052
55974,55017,55035
55970,55125,55073
55960,55158,55108
55893,55159,53987
,55160,54745
,53777,55109
,55179,55101
,55181,55110
,55177,55126
,55165,55127
,55184,55102
,55200,55151
,55180,55017
,55183,55125
,55210,55158
,55218,55159
,55238,55160
,55240,53777
,55231,55179
,55228,55181
,55207,55177
,55250,55165
,55259,55174
,55291,55184
,55262,55200
,55312,55180
,55309,55183
,55316,55210
,55267,55218
,52092,55238
,55333,55240
,55404,55231
,55357,55228
,55442,55207
,55438,55250
,55434,55259
,55354,55291
,55469,55262
,51526,55312
,55454,55309
,55453,55316
,55494,55267
,55527,52092
,55342,55333
,55500,55404
,55521,55357
,55552,55442
,52558,55438
,55343,55434
,46727,55354
,54693,55469
,55570,51526
,55582,55454
,55576,55453
,55642,55494
,55251,55527
,55317,55342
,55629,55500
,54095,55521
,55656,55552
,55702,52558
,55664,55343
,55681,46727
,55684,54693
,55735,55570
,55691,55582
,55715,55576
,55772,55642
,55749,55251
,55760,55317
