accuracy@1,accuracy@5,accuracy@10
sslcontext-kickstart-234,Apktool-3113,Apktool-3113
sslcontext-kickstart-122,sslcontext-kickstart-234,sslcontext-kickstart-234
sslcontext-kickstart-505,sslcontext-kickstart-122,sslcontext-kickstart-122
sslcontext-kickstart-203,sslcontext-kickstart-505,sslcontext-kickstart-505
dubbo-11561,sslcontext-kickstart-167,sslcontext-kickstart-167
jackson-databind-3418,sslcontext-kickstart-203,sslcontext-kickstart-203
jackson-databind-4050,sslcontext-kickstart-197,sslcontext-kickstart-197
jackson-core-923,dubbo-11561,dubbo-11561
jackson-core-883,jackson-databind-3418,jackson-databind-3418
jackson-core-1053,jackson-databind-4050,jackson-databind-4467
checkstyle-11085,jackson-databind-4684,jackson-databind-4050
checkstyle-10958,jackson-databind-3962,jackson-databind-4684
checkstyle-11020,jackson-core-923,jackson-databind-3962
checkstyle-10967,jackson-core-883,jackson-core-923
checkstyle-11270,jackson-core-1053,jackson-core-883
checkstyle-11383,checkstyle-11085,jackson-core-1053
checkstyle-10963,checkstyle-10839,checkstyle-11085
checkstyle-11468,checkstyle-10958,checkstyle-10839
checkstyle-14978,checkstyle-11020,checkstyle-10958
checkstyle-12831,checkstyle-10967,checkstyle-11020
checkstyle-15153,checkstyle-11270,checkstyle-10967
checkstyle-12372,checkstyle-11383,checkstyle-11270
checkstyle-15092,checkstyle-10963,checkstyle-11383
checkstyle-15154,checkstyle-11468,checkstyle-10963
checkstyle-14497,checkstyle-14978,checkstyle-11468
checkstyle-15175,checkstyle-12831,checkstyle-14978
checkstyle-15492,checkstyle-15153,checkstyle-12831
checkstyle-16646,checkstyle-12372,checkstyle-15153
checkstyle-16252,checkstyle-15092,checkstyle-12372
openapi-generator-14536,checkstyle-15154,checkstyle-15092
openapi-generator-18338,checkstyle-14497,checkstyle-15154
openapi-generator-17759,checkstyle-15175,checkstyle-14497
openapi-generator-18379,checkstyle-15492,checkstyle-15175
openapi-generator-20109,checkstyle-16646,checkstyle-15492
openapi-generator-13996,checkstyle-16252,checkstyle-16646
openapi-generator-14768,openapi-generator-14433,checkstyle-16252
openapi-generator-21459,openapi-generator-14536,openapi-generator-14433
openapi-generator-21480,openapi-generator-18338,openapi-generator-14536
openapi-generator-20887,openapi-generator-17759,openapi-generator-18338
jsoup-2010,openapi-generator-16050,openapi-generator-17759
jsoup-1871,openapi-generator-18379,openapi-generator-16050
jsoup-1848,openapi-generator-20109,openapi-generator-18379
jsoup-1763,openapi-generator-13996,openapi-generator-20109
jsoup-1950,openapi-generator-14768,openapi-generator-13996
rocketmq-4457,openapi-generator-21459,openapi-generator-14768
rocketmq-6184,openapi-generator-21480,openapi-generator-21459
rocketmq-4569,openapi-generator-20887,openapi-generator-21480
rocketmq-4071,jsoup-2010,openapi-generator-20887
rocketmq-6909,jsoup-1871,jsoup-2010
rocketmq-7073,jsoup-1848,jsoup-1871
rocketmq-7346,jsoup-1763,jsoup-1848
rocketmq-7048,jsoup-1950,jsoup-1763
rocketmq-7960,rocketmq-5286,jsoup-1950
rocketmq-8054,rocketmq-4457,rocketmq-5286
rocketmq-8404,rocketmq-6184,rocketmq-4457
rocketmq-8240,rocketmq-4569,rocketmq-6184
rocketmq-8585,rocketmq-4071,rocketmq-4569
rocketmq-8766,rocketmq-6124,rocketmq-6618
rocketmq-8807,rocketmq-6909,rocketmq-4071
rocketmq-8986,rocketmq-7073,rocketmq-6124
rocketmq-9214,rocketmq-7027,rocketmq-6909
rocketmq-9107,rocketmq-7346,rocketmq-7073
rocketmq-9444,rocketmq-7048,rocketmq-7027
gson-2130,rocketmq-7960,rocketmq-7346
gson-2364,rocketmq-8054,rocketmq-7048
gson-2376,rocketmq-8027,rocketmq-7960
gson-2134,rocketmq-7964,rocketmq-8054
gson-2153,rocketmq-8404,rocketmq-8027
gson-2061,rocketmq-8240,rocketmq-7964
gson-2214,rocketmq-8654,rocketmq-8404
gson-2410,rocketmq-8484,rocketmq-8240
nacos-10958,rocketmq-8585,rocketmq-8654
nacos-10755,rocketmq-8766,rocketmq-8484
nacos-9080,rocketmq-8807,rocketmq-8585
nacos-9239,rocketmq-8986,rocketmq-8766
fastjson-3834,rocketmq-9214,rocketmq-8807
seata-4056,rocketmq-9107,rocketmq-8986
assertj-2685,rocketmq-9444,rocketmq-9214
assertj-2364,rocketmq-9334,rocketmq-9107
,rocketmq-9480,rocketmq-9444
,gson-2130,rocketmq-9334
,gson-2364,rocketmq-9480
,gson-2376,gson-2130
,gson-2134,gson-2364
,gson-2153,gson-2376
,gson-2158,gson-2134
,gson-2061,gson-2153
,gson-2214,gson-2158
,gson-2410,gson-2061
,gson-2420,gson-2214
,nacos-10958,gson-2410
,nacos-8202,gson-2420
,nacos-10755,jackson-dataformat-xml-544
,nacos-9080,nacos-10958
,nacos-9239,nacos-8202
,fastjson-3834,nacos-10755
,seata-4056,nacos-9080
,assertj-2685,nacos-9239
,assertj-2549,fastjson-3834
,assertj-2364,seata-4056
,,assertj-2685
,,assertj-2549
,,assertj-2364
