accuracy@1,accuracy@5,accuracy@10
138540,138540,138540
135780,135780,135780
136585,136585,134541
134371,134371,136585
129704,133117,134371
142466,129704,140357
141956,142466,133117
120739,141956,129704
146546,144717,143930
145086,120739,142466
122580,146546,138223
145322,145086,141956
132591,122580,144717
136707,145322,120739
147801,132591,146546
148786,136707,145086
148388,147801,122580
148409,148786,145322
151845,148388,132591
151938,148409,136707
152631,151845,147801
152835,151673,148786
152589,151938,148727
152873,151991,148972
152388,152631,148388
152979,152835,148409
152161,151182,151845
129525,152589,151673
150271,152873,151938
155238,152388,151991
160167,152979,152631
149908,152161,152835
161217,129525,151182
160496,150271,152589
170102,153535,152873
164288,155148,152388
165148,155238,152979
161502,155972,152161
175039,158573,129525
171667,158624,150271
210848,160167,153535
220172,149908,155148
220430,161217,155238
220686,160496,155972
222437,170102,158573
193348,164288,158624
222987,165148,160167
163802,161502,149908
224962,175039,161217
184447,171667,160496
230817,210848,170102
233497,220172,164288
227295,220430,165148
155347,220686,161502
229829,222437,175039
238666,193348,206732
245734,222987,171667
186884,163802,210848
185447,224962,220172
261808,184447,220430
260751,230817,220686
264869,233497,222437
264563,232712,193348
269902,228633,222987
269578,227295,163802
269912,155347,224962
269867,229829,184447
266996,238666,230817
274986,245734,233497
280783,246021,232712
279120,186884,228633
287315,185447,227295
288198,261808,155347
289816,260751,229829
289818,264869,238666
297013,264563,245734
308386,266602,246021
298786,269902,186884
308093,269578,185447
310704,269912,261808
310144,269867,260751
309402,266996,264869
311910,270033,264563
317139,274986,266602
321641,280783,269902
318397,279120,269578
317743,287315,269912
320468,288198,269867
324804,289816,266996
324190,289818,270033
323634,297013,274986
324135,308386,280783
282379,298786,279120
340323,308093,285172
353349,305788,287315
353100,310704,288198
354022,310144,289816
340806,309402,289818
354947,311910,297013
359332,314130,308386
373195,314365,298786
374964,317139,308093
371998,321641,305788
371684,318397,310704
374745,317743,310144
376990,322832,309402
382189,320468,311910
384401,324804,314130
387444,324190,314365
389456,323634,317139
389967,324135,321641
391123,318899,318397
398588,282379,317743
394234,340323,322832
391384,349764,322039
404594,348488,320468
407017,353349,324804
368046,350855,324190
,353100,323634
,354022,324135
,340806,318899
,354947,282379
,353457,336997
,359332,340323
,373195,349636
,374964,349764
,371998,348488
,371684,353349
,374745,352389
,376990,350855
,382189,353100
,387718,354022
,384401,340806
,387444,354947
,389456,353457
,389967,359332
,391123,373195
,398588,374964
,394234,371998
,391384,371684
,404594,374745
,404600,376990
,408721,382189
,407017,387718
,368046,384401
,419279,387444
,,389456
,,389967
,,391123
,,398588
,,394234
,,391384
,,404594
,,404600
,,408721
,,407017
,,368046
,,419279
