accuracy@1,accuracy@5,accuracy@10
133481,133925,133925
75702,133486,133486
127665,110015,110015
91108,133481,133481
133888,75702,75702
107621,127665,127665
134985,111441,111441
133834,134523,134523
134741,109280,109280
134742,68282,68282
134536,91108,117053
100100,133888,91108
97213,131073,133888
135061,123356,131073
135565,107621,134676
135550,134985,123356
134930,133834,107621
135824,134741,134985
135841,133618,133834
135515,108065,120546
124182,134742,134741
133525,120658,133618
127799,134536,108065
120432,100100,134742
136598,97213,120658
74375,135061,134536
137167,135526,135091
135168,135326,100100
136312,135565,97213
134736,135550,135061
137244,134930,135112
137474,135053,50139
137688,113673,135526
30826,135824,135326
137732,135841,98856
137756,135515,135565
137427,124182,135550
138088,133525,134930
138323,135500,135053
138318,76657,113673
138325,128990,135824
99948,127799,135841
129336,127659,135515
108030,120432,135122
138628,136598,124182
100963,74375,133525
135816,137167,135500
138943,135168,76657
138855,136312,128990
138566,136618,127799
138875,134736,127659
133609,137244,120432
138930,137474,135560
138937,137204,136598
139158,137688,74375
139150,30826,137167
139889,137732,135168
138767,137756,136312
139741,137427,136618
139915,138088,134736
139145,137954,137244
138944,138323,137474
139822,128843,133355
140080,115526,137204
140183,138318,137688
139706,115524,30826
139668,135884,137732
140292,138325,137756
129725,126351,137427
140291,99948,138088
139899,107587,137954
140465,129336,137964
140548,108030,138323
140982,138628,128843
140551,138320,115526
141400,100963,138318
140553,135816,115524
143481,138943,135884
141501,138855,138325
145784,138566,126351
139142,138888,99948
141277,138880,107587
98069,138875,129336
78929,133609,108030
144941,138930,138628
140111,101623,138320
77067,138937,100963
97280,139158,135816
140214,139150,138943
10694,139889,138855
36195,138767,133555
32936,139565,138566
148617,139741,138888
148954,139915,138880
140777,139145,138875
93121,138944,133609
139000,139822,138930
100763,139677,101623
149540,140080,138937
148635,139639,139158
145028,140183,139150
149496,139706,139889
149797,140299,138767
148419,139694,139565
147429,139381,139741
149800,139668,139915
150083,140248,139145
139675,140292,139230
139732,129725,138944
148118,140312,139822
139938,140291,139677
150481,139899,140080
150853,140465,139639
150989,140167,140183
150698,140548,139706
151190,140332,140299
151062,140982,139694
151024,140761,139381
149941,140551,139668
151280,141400,140164
21904,140553,140248
50832,141994,140292
108121,143171,129725
143073,143481,140312
151853,141527,140291
151404,141501,139899
25793,145784,140465
153050,139007,140167
153287,139142,140548
153072,141277,140332
153108,98069,140982
153143,67589,140761
31815,78929,140551
138910,144941,141400
153068,144785,140553
153421,146532,140901
154044,147181,141994
153078,140111,143171
154215,77067,143481
153077,97280,141527
154196,95232,141501
154534,140214,145784
151611,105743,139007
154103,74979,139142
136353,10694,141277
154609,36195,98069
154939,32936,67589
154840,148617,78929
156239,148954,144941
99694,140777,144785
60724,140565,146532
3537,93121,147181
156822,139000,140111
155435,100763,77067
157468,148373,97280
157203,149540,95232
147941,148635,140214
158375,145028,105743
151408,149496,74979
159100,149440,10694
160045,104941,36195
160218,149797,32936
159449,148419,148617
157796,147429,148954
160270,149800,140777
160283,150083,144058
159699,149990,140565
159884,139675,93121
160858,139732,139000
160966,148118,100763
149633,139938,149114
161414,149954,148373
161713,150481,149540
161577,150853,148635
161910,150989,145028
65841,150698,149496
76638,151190,149440
162914,151062,104941
155003,151024,149797
163709,149941,148419
139140,151280,147429
162395,145733,149800
164472,21904,150083
163454,50832,149990
40478,140163,139675
64307,108121,139732
164779,143073,148118
96910,151853,139938
70728,151404,149954
165646,25793,150481
165798,105761,150853
142508,152384,150989
166966,132827,150698
166961,78416,151190
167215,153050,151062
167622,153287,151024
167634,153072,149941
167616,153108,151280
167706,153143,145733
167714,31815,21904
139805,138910,50832
167682,153068,140163
168209,130472,108121
163121,153421,143073
168834,153449,151853
167826,154044,146116
153055,153078,151404
162882,154215,25793
168847,153077,105761
152176,148081,152604
169608,145138,152384
170192,154196,94189
164831,153299,132827
169932,154534,78416
170124,154518,151773
170819,140771,153050
171073,151611,153287
171359,154103,153072
171058,136353,153108
170885,154609,153143
163347,154939,31815
171049,154840,138910
49412,156239,153068
170061,99694,153245
171525,60724,130472
172516,3537,153421
173043,156352,153449
173421,156822,154044
173031,155435,153078
173492,156513,154215
173018,157468,153077
172944,73401,148081
173020,157203,145138
173053,157767,154196
174579,157774,153299
175459,157812,154534
171797,157765,154193
175534,157772,154518
175699,92579,140771
175495,158274,151611
170237,147941,154103
175850,149467,136353
176837,158375,154337
153044,151408,154609
177359,159100,154939
170310,159802,154840
177749,160045,83221
179022,159638,156239
172284,160218,99694
141517,159337,60724
87522,80000,3537
179729,159449,156352
173438,158207,156822
180497,160312,155435
180406,157796,156513
147767,160270,157468
181160,160283,156911
92095,157791,73401
181193,159699,157276
60557,159884,157203
130725,160858,157809
178508,160966,157767
181758,161672,157774
137114,149633,157812
181805,161414,157765
182341,161713,157772
173079,161577,92579
182725,161910,158274
183010,65841,147941
58779,162530,149467
183142,162179,158375
154447,162867,151408
182993,163495,159100
120269,162960,159802
173425,162890,160045
183617,162892,159638
97006,163038,160218
183149,76638,159337
183857,162914,80000
174275,162908,159449
143025,155003,158207
178335,163799,160312
170239,163709,157796
162549,163192,160270
184444,139140,160283
179316,162395,157791
153115,164472,159699
180241,163454,159884
141253,40478,160858
154043,113592,160966
185100,164943,161672
184829,64307,161282
185163,164779,149633
184971,96910,161414
185397,70728,161713
185359,163804,161577
185332,165646,161910
185124,165798,65841
186061,89107,162045
185743,165520,162530
185069,142508,162179
151187,119251,162374
186161,167049,162867
178013,163050,163495
185452,166966,162960
186473,166961,162890
186329,167215,162892
185113,167622,162871
186967,167644,163038
126342,167554,76638
187226,167634,162914
178859,167616,162908
186188,167706,155003
171022,167714,163799
188313,167663,163709
188376,168104,163192
187824,168412,139140
188130,139805,162395
188466,167682,164472
185694,168209,163454
187265,163121,40478
186663,168834,113592
185748,167826,164943
188910,153055,64307
189666,169331,164779
191222,169446,96910
189628,162882,70728
190639,168847,163804
191349,152176,165646
193200,158041,165798
190700,169840,89107
169407,169831,165520
194574,162573,142508
193795,163789,119251
193729,169608,167049
193312,170192,163050
193969,157784,166519
195547,164831,166966
191297,170191,166961
70410,169932,167215
191804,169984,167622
176293,163806,167644
195808,170124,167554
153689,170552,167634
188864,170819,167616
189284,171073,167706
196303,171359,167714
196334,171058,167663
196093,170885,168104
196631,163347,168412
196075,171049,139805
197483,110599,167682
36343,49412,168209
197791,170061,163121
197722,171525,168032
197985,172516,168834
198408,173014,167826
198424,173043,153055
197933,173055,169331
198637,173421,169446
198684,173031,162882
198678,173021,168847
198783,173295,152176
198792,173492,158041
198786,173012,169840
198644,173018,169831
